"","ID","Angry","Happy","Friendly","Irritable"
"1",10019,NA,NA,NA,NA
"2",10474,NA,NA,NA,NA
"3",11366,0.119008868627193,0.0500458590462622,0.109917452713776,0.0667183606722078
"4",11627,NA,NA,NA,NA
"5",12396,NA,NA,NA,NA
"6",12774,0.104416367384514,0.0818317088384971,0.0818317088384971,0.166666666666667
"7",14594,0.142585553279199,0.0819443471696361,0.0948807740013146,0.0990658850804698
"8",14634,NA,NA,NA,NA
"9",15593,NA,NA,NA,NA
"10",16681,NA,NA,NA,NA
"11",16994,0.0973340039610481,0.0880595918989101,0.118502008155748,0.101095340048173
"12",17365,0.21383518734597,0.209619879214262,0.236557353808912,0.233590296434785
"13",17796,0.149895943994625,0.112270664063253,0.110720612751549,0.13159627029806
"14",19713,0.246225055681208,0.263819990025001,0.280746905342309,0.166473213884924
"15",20516,0.133276617979551,0.08311252138528,0.182453534612243,0.0338697496564606
"16",22054,NA,NA,NA,NA
"17",25373,0.0900086973109299,0.0472455591261534,0.0472455591261534,0.121335278065389
"18",25891,0.258886870840622,0.146998907436032,0.107226140476517,0.323790372215058
"19",27832,0.0501114828585797,0.0334076552390533,0.0702973418405083,0.153921136527253
"20",32058,0.0268810285777013,0.0900025353960113,0.0899879853143804,0.0268711593451631
"21",33716,0.170171740857012,0.182294245342627,0.182294245342627,0.28179100544965
"22",34215,NA,NA,NA,NA
"23",35161,0.113926911108852,0.0963483978725998,0.0108695652173916,0.123386152331174
"24",38678,NA,NA,NA,NA
"25",39482,NA,NA,NA,NA
"26",39689,0.242018055389333,0.198191321151553,0.119481258769123,0.113575576797533
"27",41600,NA,NA,NA,NA
"28",42916,NA,NA,NA,NA
"29",44191,NA,NA,NA,NA
"30",45878,NA,NA,NA,NA
"31",46015,0.142994863069264,0.125,2.22044604925031e-16,0.125
"32",46075,0.215174260585789,0.221773389034917,0.222825520122875,0.161120767930783
"33",46236,NA,NA,NA,NA
"34",46753,0.142673493911461,0.364490450229574,0.277572007581912,0.0886413359287762
"35",47699,0.10220913270544,0.142908866988212,0.117940993203299,0.291453274890559
"36",48628,NA,NA,NA,NA
"37",49826,NA,NA,NA,NA
"38",50668,0.096962986711239,0.24983564772229,0.248358011345005,0.29985449752134
"39",51899,NA,NA,NA,NA
"40",54166,0.179846479536535,0.0748646546162066,0.0761022251498089,0.17974534228909
"41",56952,0.242262534730552,1.11022302462516e-16,1.11022302462516e-16,0.179242900590096
"42",57390,1.66533453693773e-16,0.0991116360076579,0.113034519473002,1.66533453693773e-16
"43",58340,0.226370489983836,0.136251347545524,0.0830163162869317,0.0245875936219238
"44",58607,0.263926298160099,0.113006929543887,0.252861619803991,0.363975619203657
"45",59643,NA,NA,NA,NA
"46",60230,0.436675462446506,0.14913660107785,0.235105954224833,0.342995133164153
"47",60512,5.13933395714123e-17,0.0540306468852033,0.0540306468852033,0.0971859061499725
"48",62352,0.187476456651642,0.185756322860974,0.110665345530981,0.120163963935641
"49",62367,0.372413061666964,0.207139436206016,0.103934927410387,0.347837970388966
"50",64025,0.0526315789473684,0.1392500690034,0.215748208047763,0.209407270236396
"51",65399,NA,NA,NA,NA
"52",65786,NA,NA,NA,NA
"53",66510,0.110974634068533,0.123289754449118,0.106243128276577,0.1089605799068
"54",66938,0.0666666666666667,0.066666666666667,2.22044604925031e-16,0.108562029668362
"55",67734,NA,NA,NA,NA
"56",67775,0.15774645152648,0.186797140871889,0.2295775037426,0.152948351029559
"57",69506,0.128821268498983,0.249574467776626,0.223035642799943,0.131632657638852
"58",70302,NA,NA,NA,NA
"59",72281,NA,NA,NA,NA
"60",72918,NA,NA,NA,NA
"61",74060,0.216449635465119,0.0495863035473123,0.0847526749483031,0.191056815242276
"62",76241,0.149763213207877,0.182098625414903,0.255860994276675,0.166240407651654
"63",76660,NA,NA,NA,NA
"64",77013,0.133412206526982,0.123653547456961,0.121398935248533,0.151680242235115
"65",77048,NA,NA,NA,NA
"66",77113,0.12554255465858,0.137640612126311,0.153940013489167,0.121521146106251
"67",77227,NA,NA,NA,NA
"68",78914,NA,NA,NA,NA
"69",79564,0.151130964494134,0.105566668810136,0.126385519561922,0.140891318939365
"70",81844,NA,NA,NA,NA
"71",83036,NA,NA,NA,NA
"72",83737,0.0547259486282585,0.16146649364939,0.186125917439934,0.117649863152592
"73",83792,NA,NA,NA,NA
"74",84097,0.259463732670731,0.0559903619824041,0.0629940788348712,0.175254916376933
"75",84668,0.0333554323255296,0.199203500341455,0.296106043400068,0.202365988028121
"76",85433,NA,NA,NA,NA
"77",86122,0.116193745836462,0.0882353680412736,0.176470526633438,0.0588233696345004
"78",92649,0.209574214265176,0.225411288293238,0.163722587116672,0.166049670061486
"79",92654,0.364523898610961,0.214166454965635,0.193680638755444,0.411950576621922
"80",92919,NA,NA,NA,NA
"81",92948,0.100740772009139,0.204861496878104,0.185770611490346,0.134831160635771
"82",94218,NA,NA,NA,NA
"83",94549,NA,NA,NA,NA
"84",95398,0.0882880772273293,2.22044604925031e-16,0.0119047619047621,0.156129488673857
"85",97514,0.189717148078724,0.251381187362949,0.230677906416948,0.173210197912799
"86",99432,0.151333359555274,0.0472455591261534,0.0377964473009227,0.1146942104239
