"","ID","Cheerful","Anxiety","Content","Sad"
"1",101,3.33066907387547e-16,5.48342203937069e-05,0,5.55111512312578e-17
"2",102,NA,NA,NA,NA
"3",103,0.0923415303120257,0.144424631233746,0.0983402249483352,0.1180768318922
"4",104,0.100152961801442,0.220423192251467,0.115721394086003,0.0999367214237703
"5",105,0.128810577207503,0.124106623984731,0.193885967686421,0.116253992719536
"6",106,0.119333146598356,0.183992260724416,0.104157912970045,0.174539889814915
"7",107,0.106069456354277,0.142985058122637,0.103147257201976,0.0921681629798411
"8",108,0.10799561103188,0.135327180142506,0.0670606472382139,0.11617084959574
"9",109,2.22044604925031e-16,2.77555756156289e-16,6.66133814775094e-16,8.32667268468867e-17
"10",111,0.147454936886149,0.173454763037559,0.179917343445788,0.183978043812067
"11",112,0.129377060391242,0.184886334265566,0.156795681341512,0.23188550873839
"12",113,0.183581031451361,0.239567071305591,0.139483217585449,0.0780652580083547
"13",114,0.136480411023454,0.0736943433180076,0.190211914858825,0.21392987625574
"14",116,0.0703216209381114,0.0827411895075796,0.080185996111423,0.0940531451569975
"15",117,0.0821044387409786,0.0797363376615983,0.0846379731801396,0.0815072407687687
"16",119,0.00734909872898648,0.0838835698517144,0.0251814317031175,0.00547328496079347
"17",120,0.0751354354734887,0.150665941952337,0.122580546097596,0.165050530443857
"18",121,0.0970472344730927,0.102340544977021,0.0481282522602758,0.0585217387996758
"19",122,0.0935492107923683,0.133027564689961,0.0964374690784956,0.0668792881562407
"20",123,0.121103053203459,0.117074448562743,0.0923438898105332,0.131337720667827
"21",124,0.19521178649005,0.1009346177248,0.137050729625893,0.0481494009010038
"22",126,3.33066907387547e-16,2.77555756156289e-16,6.66133814775094e-16,1.94289029309402e-16
"23",127,0.0998182202936937,0.0945766928534574,0.0858877566117319,0.0585899882235998
"24",128,0.202476586069491,0.13143587963516,0.0999712539981474,0.107863489896457
"25",130,0.105921259528717,0.111262563278128,0.115086092601342,0.149133648676993
"26",131,0.158628056290365,0.132389270992031,0.149240842921018,0.0660258659849123
"27",132,0.122198457289813,0.190885384147059,0.141290590582095,0.169692379414296
"28",135,0.0785788977524466,0.0945739278952615,0.104706036958834,0.102541600887561
"29",136,0.115869320862303,0.155622242770135,0.144692785164584,0.111491232898068
"30",138,0.00495357906363392,0.00268762942176559,0.0261888637293215,0.0149562949977117
"31",139,0.147612457639672,0.165689288132716,0.112233501479562,0.104223152645468
"32",140,0.0244978006886651,0.00268692118489328,0.00196135171234701,0.00582999076636137
"33",142,4.44089209850063e-16,0.000654793281854082,3.33066907387547e-16,5.55111512312578e-17
"34",144,0.0371531822758379,0.064860452589474,0.0285658843517798,0.0506315948271243
"35",145,0.0366522797417486,0.0295327717630708,0.0160431437933281,0.0341296751699335
"36",146,0.100962158460458,0.10878862983375,0.0872380996581247,0.09526767992374
"37",147,0.116659153232818,0.148929041953822,0.112714134747551,0.134227360463557
"38",149,0.11624925764979,0.143116620424784,0.103320471126227,0.0946021923126535
"39",150,3.33066907387547e-16,4.16333634234434e-17,6.66133814775094e-16,2.77555756156289e-16
"40",151,0.0508877466243198,0.0389117635298765,0.0670698746252652,0.0474175463431731
"41",152,0.0133729583011227,0.00932529249667041,0.00647720732388268,0.00211622982768805
"42",153,0.0298580393746906,0.0105359546075391,0.00149525583588328,0.0237065433665204
"43",154,0.134596464201551,0.117671542384648,0.150512143773925,0.114621181404448
"44",155,4.44089209850063e-16,0,0,2.77555756156289e-17
"45",157,0.0716490430635977,0.0386148433844213,0.0139669387687743,0.0257765343244013
"46",159,0.0410727176092697,0.00756392633048926,0.0248326618262921,0.00418923537311892
"47",160,0.134122185176087,0.213160219997446,0.157610088343242,0.0990000168733348
"48",161,0.112670030170145,0.227120394833764,0.106964979013542,0.197957015977169
"49",162,0.124111152684631,0.148292890145733,0.16632608073847,0.166004696831249
"50",163,0.121507177905776,0.140805760826223,0.10036894569711,0.147450589939865
"51",165,0.117691533857346,0.143809491771678,0.0819457087320705,0.0948769731081414
"52",166,0.0876851616823641,0.129648629446994,0.106112998800318,0.0838574622794793
"53",167,0.125715396780229,0.167030130243008,0.152783551063256,0.206913866009279
"54",168,0.064328784548479,0.162996568055047,0.109527328745435,0.11583634721242
"55",169,0.112249308585378,0.146048206599946,0.160045770812394,0.12446255385583
"56",170,6.58480956218233e-05,3.33066907387547e-16,3.33066907387547e-16,1.11022302462516e-16
"57",172,0.100341035138448,0.0806330585098092,0.0896395040942622,0.0978945133505105
"58",173,0.186917314945224,0.185276291110345,0.10497121965894,0.0987017905943572
"59",174,0.118173473899413,0.140175154720915,0.0921556508797792,0.0502251908904273
"60",175,0.120482397507851,0.19989961793154,0.0747071198482303,0.137656270374468
"61",176,0.114891221326867,0.154956239910703,0.130811261401521,0.162707603163218
