"","ID","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"19",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",53,0.277944610976784,0.199403665444556,0.21605473409995,0.183230777301681,0.188149047995654,0.143774572131153,0.114024248537148,0.203250068470968,0.192316837524473,0.177956858197679,0.18835406504378,0.182038547091082,0.30260196619811,0.155371632960983,0.281287928294166,0.162616939602081,0.157975198561958,0.254306511612077,0.118094873919236,0.126186501659404,0.192957305000968,0.195786472502584,0.402603411392271,0.349839248058428,0.166628019898636,0.238455864832391,0.14052068042818,0.336438491542999,0.207663400911986,0.172684621190835,0.183538847468223,0.250002162079477,0.255271523733902,0.143661131959275,0.144336641609194,0.239931993592163,0.257241808130882,0.335493215377069
"22",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",58,0.171725905946295,0.1131922941538,0.123434026089881,0.324391046995565,0.200885518067987,0.309734288800588,0.241536075439605,0.0953310549865452,0.10801231849469,0.110579780132739,0.245849899253749,0.211705657463736,0.285368051555622,0.213629869061687,0.149225556604746,0.271991836780988,0.243377399639039,0.255500694272582,0.112627442438952,0.0945248620265786,0.166770748689526,0.119949015125017,0.0878697258492085,0.127108083111431,0.213126828977294,0.251893350455577,0.0718292071900872,0.169250793704712,0.251454085546356,0.181423692839887,0.170552029324435,0.156165715746633,0.144888826861221,0.182591606613445,0.200843227640588,0.135149167317186,0.142021348078544,0.227788781934183
"24",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",61,0.152752523165195,0.131497781983829,0.137689263682153,0.213600093632938,0.330088372005639,0.342782730020052,0.193110503770941,0.118145390656315,0.137689263682153,0.303795435559303,0.134629120178363,0.150692844333543,0.178535710713571,0.248327740429189,0.160078105935821,0.380788655293195,0.170171482138851,0.177951304200522,0.138443731048635,0.109924216318941,0.162018517460196,0.187638837486628,0.250831949054874,0.248746859276655,0.123322071557906,0.213600093632938,0.12747548783982,0.0935414346693485,0.229582955232599,0.162660177466193,0.367423461417477,0.169558249578132,0.358817502360183,0.195789002074512,0.171998062004586,0.144337567297406,0.187638837486628,0.187082869338697
"26",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",66,0.195433984047149,0.356271000236738,0.161970909049002,0.498454428143972,0.327495081513421,0.433012731296597,0.27985335741976,0.188398057919052,0.197398221296205,0.220479272713945,0.188398055207179,0.188398061605934,0.242161045100672,0.357891639833621,0.197398171617593,0.338501637761848,0.246894277220589,0.390867975912335,0.370601784372783,0.270030852288529,0.31853736390133,0.353007354276086,0.30365571094077,0.188398064455193,0.17235657720423,0.232405588101941,0.418975088564226,0.242161046313086,0.228217734142252,0.288675093691922,0.237333428790362,0.249999988206665,0.206005502796984,0.232405532190572,0.338501552589604,0.229901987473926,0.20317691313266,0.186338998124983
"29",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",70,0.166665637788212,0.102061301940413,0.249224798092273,0.176776575104912,0.305548633611519,0.0277826419276155,0.204121833227098,0.154659608057298,0.185298531595069,0.121079554730603,0.306183637477777,0.0833369389515056,0.130287187332696,0.182149534736182,0.131762166160358,0.216950970553284,0.134655502201193,0.161975611446486,0.211548922437542,0.0941996545087841,0.206006192393146,0.0277771485119449,0.10206137817557,5.81660105491988e-06,0.197394874679299,0.121079948781336,0.142992798337002,0.176774915614587,0.102062065769011,0.204122673273495,0.178946875823574,0.144338657223468,0.195433221304364,0.234882237916271,0.102062072619116,0.16666838448734,0.195433185065306,0.176776250346587
"31",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",95,0.24426357542638,0.222612248130581,0.250738554046256,0.174142021887258,0.285022231736099,0.239292390447822,0.289314976830686,0.245396471058346,0.289314976830686,0.25,0.333918372195872,0.175376461798775,0.378069293294952,0.315896239175222,0.347398048842031,0.228217732293819,0.225500757683819,0.212700769526116,0.237871478401019,0.399704032515895,0.340317608934199,0.290590434785721,0.354076012298499,0.353553390593274,0.20502802040666,0.210808764774427,0.30426780221297,0.232498860042591,0.227134842519572,0.405749483053309,0.20502802040666,0.207716048025893,0.25657046277166,0.266816094721377,0.238259840256997,0.238259840256997,0.24108871242425,0.298748210198232
"41",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",109,0.243551216898157,0.220944644739032,0.101934208766583,0.189504395048824,0.233013441627394,0.225054583437716,0.22935779719185,0.250001536678349,0.26319540169279,0.16087582240785,0.138792339585291,0.2200851234707,0.209165129101774,0.0967908458902521,0.32863124224396,0.330126490913176,0.177593044353175,0.284998278487937,0.267122079022709,0.16135350500166,0.307148403458505,0.296247461948234,0.160154196306364,0.178171888529857,0.171625291782691,0.102688294399939,0.273813041480644,0.0507779784276011,0.17183368789948,0.27816168737209,0.304374948508879,0.219367803598236,0.240828763552672,0.292261298570285,0.10155595685411,0.18371687568909,0.182925938687628,0.119072016389745
"49",112,0.232706122138537,0.213660791917662,0.42691847423313,0.234686145511752,0.179861931146609,0.227934641956126,0.283071086023317,0.366657078982838,0.399889280881849,0.124838480158863,0.342613322004179,0.11700729364676,0.504584696667354,0.291609781452733,0.374999999817062,0.276255585912696,0.300169975898905,0.318992473780956,0.362632521814946,0.529721000891892,0.380356599724314,0.535140108236975,0.159706937947644,0.289758800865744,0.262616398163927,0.361294691965222,0.39223754618535,0.338441988642207,0.289981542355314,0.335900710276848,0.196118773111366,0.170209735792336,0.334214572051287,0.250693124749273,0.254103927283766,0.232937222191628,0.386116370481633,0.264601363765516
"50",116,0.378526502272223,0.191218790541866,0.293875262771569,0.228217732293871,0.170502209354752,0.191218790531974,0.287105985531413,0.308950935063279,0.302255551407214,0.262040008363502,0.115956903178972,0.237461955397618,0.358331355847118,0.270816980132681,0.315840984065868,0.186576524083981,0.310751913535118,0.310580841621021,0.348405014945422,0.368783507763194,0.348405014901811,0.252432890003258,0.288675134686883,0.241346844406496,0.216629052197015,0.150113335882539,0.328218625283717,0.289043108259678,0.270816980160591,0.39883173360171,0.245711517215719,0.270424206922837,0.184283637857638,0.179017300416262,0.205162951646093,0.255986985481288,0.179017300511426,0.284128785307096
"51",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
