"","ID","Angry","Sad","Stressed","Relaxed","Happy"
"1",105,0.208973370040589,0.210508930077426,0.217075920908912,0.226941458146874,0.259466669660436
"2",106,0.26115928885473,0.132855269041661,0.226647965949417,0.262651889133846,0.171620312942665
"3",107,NA,NA,NA,NA,NA
"4",108,0.120625126976971,0.0685661489110817,0.190631775124805,0.153382319317699,0.136808660675178
"5",109,0.102219540673544,0.0376921515885801,0.144528752146207,0.101568125426487,0.0926386379380138
"6",110,0.0924473650635557,0.170289515139694,0.258011285474249,0.298157696907085,0.143413263469139
"7",111,0.0159965746741137,0.0159196268183654,0.0107849620360268,0.0309837091742705,0.0191326120572112
"8",112,0.0680310137923581,0.158530227172658,0.175213709358651,0.20778379340291,0.247065470887003
"9",113,0.133965644996337,0.205839718713152,0.157608293123182,0.141366651916061,0.172840398872674
"10",115,0.202503115786518,0.19269597239525,0.226527772603328,0.194082982688175,0.228719199354549
"11",116,NA,NA,NA,NA,NA
"12",117,0.249811489604664,0.240162450670756,0.218748951723593,0.233031031568579,0.118628431085118
"13",118,0.109787415595603,0.208219412534199,0.148389661879292,0.179431400691154,0.18937823240049
"14",121,0.113186742374047,0.127710644996363,0.0843123826149136,0.0865549920892388,0.0894916180663639
"15",122,0.115986644859287,0.11953177832289,0.136125599872737,0.0972375029833716,0.112392961896365
"16",123,0.0939919423844036,0.0765340529735953,0.0807438378433022,0.108972999038056,0.106633502694481
"17",124,0.183023946194669,0.16448775566874,0.164993802882166,0.106209957404521,0.200888350708437
"18",125,NA,NA,NA,NA,NA
"19",126,0.115553227577908,0.0883703166642933,0.176962952178173,0.169164164007493,0.145290781493849
"20",127,0.0054987904344059,0.0065064651562328,0.0312465490542228,0.121433224520713,0.0982179136451344
"21",128,0.150457799608905,0.154921201789543,0.193180680888978,0.169205287720073,0.146100858289415
"22",129,0.0519424454270728,0.110622967520417,0.0981568637027549,0.099428835528875,0.0833589306104576
"23",130,0.170294607037516,0.18229122025292,0.17969028865659,0.125246996369724,0.123875747909867
"24",131,0.197179771123637,0.101462921123802,0.160157977659164,0.124206521760042,0.114061333275804
"25",132,0.215035506410256,0.225955671394006,0.244857067706181,0.259038255358525,0.167490887748899
"26",133,0.0340751713798026,0.0250406003348338,0.0931506892842198,0.094092675562505,0.120137035364361
"27",134,NA,NA,NA,NA,NA
"28",135,0.117006730967903,0.082269441435262,0.0980458212941118,0.0942913976638467,0.173216380777161
"29",136,NA,NA,NA,NA,NA
"30",137,0.112844905648215,0.117424589089813,0.139751179114388,0.175876113003689,0.0985050193290868
"31",138,NA,NA,NA,NA,NA
"32",139,0.0874665057892256,0.0514099330835198,0.231721310007065,0.18274973232013,0.21819344216524
"33",140,0.069313211479274,0.109299434424062,0.152351450116044,0.0900916829763744,0.126218014673665
"34",141,0.0225369712246814,0.0233042523353771,0.174758113273484,0.16727630540789,0.134146777825511
"35",142,NA,NA,NA,NA,NA
"36",143,0.110127806734672,0.16056131455525,0.164299145166065,0.0889630495940868,0.0818148033954732
"37",145,0.187911950060063,0.0941112044157679,0.174777827294327,0.136022030065823,0.13819383584513
"38",146,0.111633236415256,0.0581109663398333,0.240998717653174,0.1509510376347,0.178555063855547
"39",147,NA,NA,NA,NA,NA
"40",148,0.137712783583674,0.20593335353132,0.110487345628525,0.143992859480576,0.110619779290925
"41",149,0.0776094696894777,0.0604561125071086,0.181954559021074,0.132267518077135,0.117397984635523
