"","ID","Talkative","Energetic","Tense","Anxiety","Enthousiastic","Confident","Distracted","Restless","Irritated","Satisfied","Happy","Depressed","Cheerful","Guilty"
"1",150034,0.081908362509511,0.0757144641198267,0.135188921759753,0.155784097242543,0.0558785371863476,0.084223636989418,0.0916038628130972,0.187537813394453,0.129235331498223,0.109112856446008,0.0716737862014439,0.0962213758682388,0.0874442890016626,0.0854779297239463
"2",150035,0.189322502087383,0.205240816569749,0.191574446441458,0.0684495958054765,0.217346150167931,0.132719078683365,0.130989265527967,0.159082576238013,0.033992709055868,0.157416232141896,0.159933327561601,0.0668957140991658,0.156917975785592,0.0508699534142541
"3",150036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",150038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",150039,0.128828658786353,0.13192666651694,0.188523647472508,0.127556141075219,0.164134007250656,0.110263388052776,0.14220135768332,0.148673645354579,0.0939020936928706,0.148592824131304,0.182533700232223,0.0917474877220224,0.12161902343479,0.135095362980078
"6",150040,0.0820365058596646,0.0865237074088284,0.0937027711537602,0.013898059509068,0.120719445541635,0.0433898510449931,0.132672346197849,0.0935255020453672,0.127851019305198,0.127282926941692,0.1277316876707,0.0971109160572422,0.0943794772174017,0.0416866242207765
"7",150041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",150042,0.176137295635008,0.112818020514198,0.153162320537538,0.109251885676666,0.159081781131623,0.106024742745225,0.195121433161208,0.142613389426181,0.113186622097737,0.109742988450451,0.138857744792932,0.174861202944139,0.146292179386886,0.165694845472348
"9",150043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",150045,0.125647510238942,0.0940689610282227,0.161234862478997,0.105687908839478,0.113196056511864,0.138681281809402,0.136947726590513,0.113125807836216,0.00866287919499265,0.149667688350797,0.143290931889447,0.111695345106996,0.141947707229455,0.132991380411102
"11",150046,0.104503088591835,0.134076843314027,0.135750129182033,0.120080149127947,0.104990146881146,0.139283900470692,0.140305949124272,0.0925448142132316,0.170784316139027,0.100960229372959,0.174535582479314,0.113882837720123,0.202125055933581,0.219723384773812
"12",150047,0.145886632706492,0.118228300786496,0.108532106437791,0.0808618626201037,0.151373853057669,0.151584078993614,0.144736631304324,0.12722098917069,0.0653372582866745,0.124018498679616,0.140295446254832,0.122589368336745,0.123535140003023,0.034834398281736
"13",150048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",150051,0.109335467842104,0.148044690319501,0.127907128787336,0.138493306155341,0.120025445425494,0.137712242819733,0.0857289026473601,0.110483922946366,0.171752973806566,0.129747138815747,0.0457236466422778,0.0862459830392479,0.117508846829843,0.17266400830035
"15",150057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",150058,0.098504988205043,0.0663547432265098,0.127484734563249,0.0165078923910569,0.0774533953670692,0.121514338943946,0.131191356445109,0.140004255530194,0.123528104992109,0.0947285716971669,0.10405051396058,0.00985556319957516,0.100893241983494,0.148739097034456
"17",150060,0.0869965785239613,0.111031050823667,0.0301387437634331,0.0317442523488955,0.115946058296167,0.116175877345232,0.0770614193013074,0.0834858602258569,0.0860256326597389,0.10279060532973,0.133628350842427,0.0569112758099733,0.0907189195113384,0.0855223639241991
"18",150066,0.206817985042814,0.152332619380595,0.251207617578907,0.0760805548948328,0.201733294976244,0.191013320873236,0.163801187384378,0.319132274062448,0.196847967546593,0.205973253257094,0.248705393683387,0.221899617033035,0.159849266900102,0.0771547481053899
"19",150067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",150070,0.214999761783695,0.206530048729581,0.172352589409422,0.112488991877302,0.148105604977525,0.198763254261499,0.106439000003895,0.152738637347535,0.15399159624233,0.121516672847542,0.155098401470364,0.229977640910019,0.119775371722346,0.169172117056143
"21",150071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",150072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",150074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",150075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",150076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",150077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",150079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",150080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",150081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",150082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",150083,0.123353782238103,0.118993987125285,0.212609084354933,0.278370938931745,0.135292579786679,0.0442401467697104,0.225610862539979,0.19929704300324,0.261506687000176,0.0649006728162737,0.0598829211977194,0.0481213407114232,0.115458763697586,0.210712280057527
"32",150086,0.133597702401358,0.132101493452546,0.188749424637765,0.232487924639239,0.126467630166504,0.138794941471017,0.233846805725335,0.139113420790413,0.180528242665259,0.146651289190442,0.114512564442563,0.186630234949849,0.13517976773852,0.134579067229372
"33",150087,0.153931861819722,0.162929184206525,0.247739192168833,0.162404800334928,0.15925672510702,0.249795783313226,0.253928818642777,0.287469648460211,0.204869420436562,0.177500506450482,0.134386710398854,0.170914234619853,0.169988459422123,0.263100286102732
"34",150088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",150090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",150091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",150092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",150093,0.155150047193544,0.116292224875843,0.129304697441178,0.0126934453260641,0.088271785082696,0.113847133997205,0.0753713242911075,0.0993676159196183,0.120787127196995,0.0727577831870729,0.106604563123834,0.153941462931099,0.0606803025110776,0.0104411268889657
"39",150094,0.118074023201792,0.103005166922583,0.162633940832179,0.231642742807599,0.133981242497153,0.0936390439223539,0.232507797819242,0.169456565711682,0.13762094077704,0.137710802320541,0.134039715297231,0.11530666177803,0.0904800977900036,0.133366674045649
"40",150095,0.124403300496998,0.156646096611036,0.142407544784868,0.130500376159739,0.175353785715977,0.160277872583171,0.116449380638514,0.159866213376265,0.186713031234071,0.126428383782185,0.110085371135705,0.13507433057764,0.149538053093329,0.232904937753824
"41",150096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",150098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",150101,0.170994402003989,0.185710961844736,0.109089642334194,0.0789957480046347,0.0930797184196586,0.0808775159419785,0.0848107486741591,0.235891121001352,0.184834373411877,0.113543182354158,0.106643968565935,0.11572618307076,0.103310368081127,0.121064915320588
"44",150102,0.0366600935645311,0.0611944521654798,0.0650689580745178,0.113700201797226,0.0351560774690724,0.0365744924702792,0.147094706368148,0.114650425286442,0.0303828470698101,0.0478076673620546,0.0849301798233949,0.0326974656240096,0.0482440216355017,0.0723030022966513
"45",150103,0.103978310342818,0.113703561506748,0.139327165037101,0.105565625657593,0.100881303818247,0.0498575269102242,0.127973878423874,0.1261044705692,0.101684178007702,0.0897565409025231,0.0983218844638582,0.124939443068833,0.0501265572283297,0.0948128583815529
"46",150105,0.14510055611098,0.127643535054806,0.164515210110043,0.101778972023981,0.0905926024483443,0.118063595082295,0.155594124354164,0.119363393457687,0.0912656706069083,0.107756716918599,0.0720798222304071,0.096596667257838,0.116764670894682,0.11701181328631
"47",150106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",150107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",150108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",150109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",150110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",150112,0.131269173727242,0.172558892775957,0.14284322823568,0.158488356243302,0.107560110400927,0.139379998580018,0.203796829393678,0.193870461499729,0.183494383011715,0.168726105789422,0.171038813862066,0.171914057461296,0.198791454435104,0.248853208837239
"53",150113,0.16708243424644,0.178269472206018,0.0612009799676691,0.0649717264056343,0.15372987953962,0.150082881521956,0.0930039478947745,0.155241802033403,0.109892350669765,0.21788383068851,0.133626099206456,0.106933444146751,0.158583963250481,0.15198804035674
"54",150114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
