"","ID","Joy","Exciteme","Pride","Pleased","Anger","Anxiety","Shame","Sad"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,0.161218896411827,0.106782752904098,0.108103210852915,0.159953204934088,0.216863482576174,0.215587684529692,0.169465299462085,0.221899426507501
"6",7,0.153829536116552,0.221386762829943,0.21142556795397,0.200506954207697,0.106387079367355,0.14142059490926,0.116737113993689,0.091152441361623
"7",8,0.169721153233072,0.183388561542553,0.194517398890934,0.113500826794542,0.17645489823516,0.0950128642898963,0.189762546191488,0.198814205767225
"8",11,0.113034702512312,0.279958967561345,0.223014006760303,0.0975806948963527,0.00691525052648381,0.170282009415342,0.172798535955656,0.157590604232442
"9",12,0.102522528368957,0.187501273939568,0.19625682040471,0.127380965875527,0.108382424718673,0.219830432252763,0.112722354410983,0.0266988616638951
"10",13,NA,NA,NA,NA,NA,NA,NA,NA
"11",14,NA,NA,NA,NA,NA,NA,NA,NA
"12",15,0.295721598703882,0.275661777781997,0.289934189693513,0.250561749765542,0.000997611705303366,0.286660936679254,0.098377703855892,0.0764919361421225
"13",16,0.224012371803682,0.247728779900765,0.234073530007755,0.344788160948251,0.0967623668978436,0.0964766919282762,0.000347439766702407,0.111660592702443
"14",17,NA,NA,NA,NA,NA,NA,NA,NA
"15",18,0.301738954098403,0.248640307613609,0.118110338017172,0.187814896887759,0.0568134679806286,0.184514142585167,0.0267141072270923,0.255454899978376
"16",19,NA,NA,NA,NA,NA,NA,NA,NA
"17",20,NA,NA,NA,NA,NA,NA,NA,NA
"18",22,NA,NA,NA,NA,NA,NA,NA,NA
"19",23,0.21774256029392,0.241543807427612,0.115364635641395,0.225068847104801,0.110625301326679,0.143031731261929,0.107385764598732,0.105588737879697
"20",24,NA,NA,NA,NA,NA,NA,NA,NA
"21",25,NA,NA,NA,NA,NA,NA,NA,NA
"22",26,0.193826127561524,0.333493305743814,0.250297234473888,0.254838877130549,0.0447605011619153,0.131947539047011,0.111975616241762,0.144892848179943
"23",27,NA,NA,NA,NA,NA,NA,NA,NA
"24",28,NA,NA,NA,NA,NA,NA,NA,NA
"25",29,NA,NA,NA,NA,NA,NA,NA,NA
"26",30,0.228690726560517,0.241771356386834,0.0948627097349862,0.166851830362862,0.102474144579499,0.155822797882225,0.104298410304683,0.0556269298920816
"27",31,NA,NA,NA,NA,NA,NA,NA,NA
"28",32,0.234822683100529,0.242372833606349,0.0437545725936751,0.179379798054359,0.143538040829627,0.0977738683207384,0.104912030496376,0.109834794696312
"29",33,NA,NA,NA,NA,NA,NA,NA,NA
"30",34,0.155720529200775,0.205644967144035,0.161555515919517,0.143295881108057,4.43738353256361e-07,0.10877825844899,0.152605591382914,0.00902226202166362
"31",35,0.122390251534096,0.112613271683341,0.0875066203567748,0.113857170591644,0.232943449329951,0.367809894552045,0.00225668562614262,0.221760521859837
"32",36,0.170340016282674,0.124618563515063,0.106273841544492,0.0289300135380698,0.127583662445638,0.152394772956041,0.114874570893522,0.0995911454922895
"33",37,NA,NA,NA,NA,NA,NA,NA,NA
"34",40,0.184484419801812,0.347086594452674,0.0677916458645882,0.168742284738721,0.176678334450883,0.116128640031414,0.166917853284433,0.355212185900356
"35",41,0.0701472348678882,0.0342641528144372,0.127124080189853,0.122644481080676,0.266399311280436,0.189949295128157,0.0602918709706461,0.0941288879771022
"36",42,NA,NA,NA,NA,NA,NA,NA,NA
"37",43,NA,NA,NA,NA,NA,NA,NA,NA
"38",44,NA,NA,NA,NA,NA,NA,NA,NA
"39",45,0.133780554653789,0.144232588768154,0.140611858200362,0.124745257213567,0.0732661997342385,0.133663310132028,1.96952311907832e-07,0.106728927712988
