"","ID","Happy","Relaxed","Sad","Stressed","Angry"
"1",45876,0.0557149305647565,0.0680983116073326,0.0436282125675799,0.0537363009799923,0.0083380466800305
"2",46729,0.128418102402914,0.13677351499195,0.14268368378693,0.12118551325928,0.0529358829370221
"3",56782,0.131141493124934,0.151950008758895,0.0783615364444509,0.12873291304312,0.0859397548164988
"4",84639,0.176796690740524,0.252557728383832,0.152881108848216,0.220457223394826,0.0705865955591884
"5",154485,0.140608083070918,0.190723954028825,0.0674344336483865,0.22351734493138,0.18237527481947
"6",175961,0.244187520520025,0.195591304965687,0.211229957550204,0.188691702157647,0.135099636678593
"7",230649,NA,NA,NA,NA,NA
"8",269797,0.154322789993412,0.153623967920645,0.129781249694095,0.163723981886713,0.122651116516456
"9",283922,NA,NA,NA,NA,NA
"10",483952,0.207323555072429,0.237026264085708,0.142298292489084,0.242488424126621,0.215108703010749
"11",542921,0.115264202352644,0.139847367249538,0.0787322307015346,0.154913247009932,0.0840982066053046
"12",543670,NA,NA,NA,NA,NA
"13",580800,0.103975453351516,0.138156130897881,0.0163816302062331,0.0882059539507327,0.026172534675741
"14",600011,0.104900344337526,0.105677020571382,0.0287909095304879,0.100033733950803,0.0131991809723892
"15",621190,NA,NA,NA,NA,NA
"16",631524,0.142263441768481,0.0878096533481436,0.0592871011367358,0.138715240759548,0.0549961920684813
"17",709845,0.0835040957580421,0.125101278878986,0.0496728763051161,0.22626804744119,0.0244496963374457
"18",718883,0.183987846792427,0.0892214784020364,0.155013688128248,0.204141230006458,0.138630856858381
"19",735244,0.0397839591151714,0.0582208191485281,0.0209904095831146,0.0192020722892416,0.0175746505868201
"20",855701,0.0818318067269648,0.102503460648396,0.0693130670609432,0.0821380800861834,0.0619088534438806
"21",1024119,0.0635567781867186,0.0674021914933403,0.126466900563333,0.145544051661216,0.0566096377658983
"22",1095723,0.072336306519863,0.0867927213277086,0.0637688070113056,0.0879079453410024,0.0905628199862094
"23",1115262,0.196002730625562,0.202242301389632,0.113751170201973,0.178591619738856,0.0904294973750713
"24",1143997,0.182458757406953,0.142231512614582,0.268231112401801,0.223755103834778,0.173711764960763
"25",1190767,0.106786938654431,0.0953458175223454,0.0616003560157944,0.112605130046235,0.0701945163556527
"26",1217508,0.126027411053554,0.171692460438705,0.101826764078988,0.158614408771898,0.143232221601435
"27",1303462,0.180776337291309,0.157396198272856,0.194743386978221,0.275646206255535,0.133372855505127
"28",1356094,0.126888535972943,0.227784204947506,0.0957359865362337,0.151204772745887,0.0593962187648214
"29",1421052,0.114234888884425,0.10719922465997,0.0960526661069641,0.0920361772190769,0.151672813485735
"30",1462424,0.0915356751201087,0.0986377490600139,0.13514346244074,0.1432283891708,0.0731734584401431
"31",1541444,0.145645417599345,0.0617378939047446,0.0984639341275812,0.154623208214795,0.131094957466846
"32",1632073,0.131741636561176,0.18454633502936,0.156477593177778,0.194514212004782,0.182269061563274
"33",1661817,0.182387674591367,0.175481137752018,0.182040023816692,0.140755748224182,0.182302257185299
"34",1670119,NA,NA,NA,NA,NA
"35",1700139,NA,NA,NA,NA,NA
"36",1844703,0.0958375488711394,0.0996423325874651,0.113111263262834,0.0999942063698019,0.0923146110241608
"37",2011403,0.143561101070915,0.0951189728853817,0.160359146319284,0.130827636221317,0.135412716975236
"38",2031649,0.231708377476911,0.259969006996694,0.128625504654573,0.193430604254684,0.159666615854156
"39",2098152,0.0406120788602106,0.0623588609567456,0.154647484739738,0.0589864865245774,0.0567478758161042
"40",2182590,0.082820541099716,0.170551441540144,0.00692698196241217,0.102408816569325,0.00156114570951802
"41",2197307,0.103733713875024,0.120190772325159,0.121488401647782,0.11829233872295,0.0881131183126559
"42",2199641,NA,NA,NA,NA,NA
"43",2430222,0.0738666629254659,0.0792396985451586,0.0793853001399977,0.0641502932715903,0.0873148856411504
"44",2482155,NA,NA,NA,NA,NA
"45",2608190,0.0742303255114024,0.172326972175475,0.109653693037385,0.164765433838254,0.127976296445171
"46",2632561,NA,NA,NA,NA,NA
"47",2672189,0.144673666917341,0.176163590829804,0.126498857316413,0.179162314273644,0.0190591181418471
"48",2733379,0.0618482418938362,0.181100982989826,0.0594602826938345,0.134583562620959,0.04872712510008
"49",2751400,0.193917167860842,0.268639530038348,0.108758203908812,0.286899511065531,0.0292837302328254
"50",2797518,0.0941951585401103,0.0958720620907925,0.117591736162575,0.133367881287452,0.101952270436924
"51",2842994,0.02761786381704,0.0350287918137491,0.0333505337907621,0.0524738870720399,0.0539543390959971
"52",2891334,0.0380479065797038,0.0611112269339536,0.0264137180363775,0.0391645573720202,0.00831869114615943
"53",2980289,0.236965128506585,0.380075272895192,0.15574726604151,0.158035542119877,0.162365700521882
