"","ID","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,0.0394738123688985,0.00658786962637192,0.00438598113342559,0.0350860330640426,0.00303657835979537,0.00438598113342559,0.00877196226685145,0.00438598113342559,0.0263158656383744,0.0219298751694924
"3",3,0.0505444891390682,0.347140495775895,0.3145120289133,0.0802061256379362,0.276990250804392,0.266809243112313,0.204799993456176,0.19415003400686,0.00371146171680011,0.102535742169098
"4",4,0.100773540770769,0.096239457816235,0.177487679592455,0.123713506375305,0.0452015724597549,0.0513975467064481,0.109042883581084,0.143111132210434,0.104977788705965,0.127268891302628
"5",5,0.146125138442092,0.0991250595866804,0.144470621981763,0.103950522932728,0.104281191897715,0.137670390319427,0.121954723036126,0.130929758360998,0.337873348191132,0.27320798344712
"6",6,0.291628129966066,0.261010669263746,0.255308544028378,0.268252277559118,0.247713322327661,0.358932788354603,0.259962299551336,0.215408295558642,0.236556891290929,0.296847563235236
"7",9,0.261836031654257,0.196840483357145,0.19948573462685,0.179178060662239,0.191038593821905,0.158101600551472,0.279772285814013,0.148275086350142,0.0681256029426139,0.235571942378251
"8",10,0.00393522097241469,0.220848135303731,0.154870809679707,0.0611905885778083,0.165419255632991,0.192685499865362,0.112864584779013,0.232663421608836,0.0983339165648354,0.0866667252479774
"9",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",13,0.21747196088436,0.256365474044286,0.159370661536145,0.433841996084811,0.126005327806294,0.192660538211928,0.514638015085226,0.384581694682466,0.12707102560891,0.236633847134358
"12",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",16,0.0745018004499175,0.202160705902771,0.235644990355841,0.188576438321277,0.21196194113305,0.159849003336008,0.126672959943543,0.140487893355742,0.0182602599527026,0.315769656834121
"15",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",18,0.257998020291637,0.131934769214948,0.148346726281595,0.211496340963912,0.159114869465978,0.16841419973409,0.224536798627014,0.188100013183632,0.256833959712529,0.211630647304339
"17",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",21,0.125937286863421,0.151354976717142,0.145835377561394,0.231749880247852,0.189850889735618,0.225518035295588,0.019352773083792,0.128495478721883,0.077042541415686,0.145484924030026
"20",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",23,0.231543815817202,0.203119709619991,0.184707098748613,0.205328387459511,0.14101202275651,0.187629021396232,0.178903863983946,0.216505771461516,0.203500014058514,0.271433309605007
"22",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",26,0.0719316862587495,0.304671547369269,0.140662033023434,0.230908705377046,0.31226437891663,0.332546794318008,0.0657364101440296,0.266904792679281,0.0643794493040182,0.162115235847844
"24",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",29,0.121724666955053,0.0538854499743299,0.0476734221413529,0.136472120850629,0.0471607135238669,0.13848974632606,0.128436287902681,0.132428747538785,0.114315433149143,0.134339986949335
"26",30,0.146500102928186,0.17580552881565,0.126039992552478,0.167243116773379,0.133572677744309,0.16802884299262,0.131647247512465,0.176555819382669,0.176764359124739,0.218197375240942
"27",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
